# of predictors,response,mean,std
1,MU:D-arabinose_builds acid from,0.3742661774049536,0.015997236364753996
1,MU:D-arabitol_builds acid from,0.5631847354823901,0.34534286995016367
1,MU:D-fructose_builds acid from,0.7200338396688246,0.037121514125093305
1,MU:D-fucose_builds acid from,0.36321496446694823,0.020465559945884285
1,MU:D-galactose_builds acid from,0.6021331026973771,0.010929401964689837
1,MU:D-glucose_builds acid from,0.7153312732840154,0.04013419760310454
1,MU:D-lyxose_builds acid from,0.38048173245669276,0.015342392134993886
1,MU:D-mannitol_builds acid from,0.6477042765616209,0.02315306584386711
1,MU:D-mannose_builds acid from,0.7342757499167304,0.001371398058740604
1,MU:D-ribose_builds acid from,0.6195479367318549,0.016999879908127746
1,MU:D-sorbitol_builds acid from,0.5078924240006941,0.019707806411175706
1,MU:D-tagatose_builds acid from,0.4985765786947236,0.03047789539440458
1,MU:D-xylose_builds acid from,0.5378867140813887,0.025383138301950024
1,MU:L-arabinose_builds acid from,0.5708925667486767,0.022317722027908292
1,MU:L-arabitol_builds acid from,0.7720120188203419,0.37854522103153165
1,MU:L-fucose_builds acid from,0.5647723169676969,0.35239244352726695
1,MU:L-rhamnose_builds acid from,0.41986646066173483,0.018585649420780927
1,MU:L-sorbose_builds acid from,0.3883733167633714,0.009635208242805124
1,MU:L-xylose_builds acid from,0.6477771899919669,0.019387369272554036
1,MU:N-acetylglucosamine_builds acid from,0.6792403848037775,0.020444209200521462
1,MU:Potassium 2-ketogluconate_builds acid from,0.5663449239097272,0.35534749922854025
1,MU:Potassium 5-ketogluconate_builds acid from,0.6540662182700624,0.03830343114757926
1,MU:amygdalin_builds acid from,0.76578330856236,0.01169512618585215
1,MU:arbutin_builds acid from,0.8269446613653985,0.01604668738508566
1,MU:erythritol_builds acid from,0.6466301679667928,0.33109556872885104
1,MU:esculin_builds acid from,0.820728826415654,0.012949261010207531
1,MU:galactitol_builds acid from,0.7688670848342865,0.3758216415572614
1,MU:gentiobiose_builds acid from,0.7878718794871148,0.023162366521644114
1,MU:gluconate_builds acid from,0.49044652128764277,0.020726073106060783
