num_predictors,response,f1 score
34,Inulin,0.853448276
34,myo-Inositol,0.857758621
34,Methanol,0.965517241
33,Melibiose,0.784482759
33,Inulin,0.887931034
33,D-Glucoronate,0.887931034
33,Methanol,0.969827586
32,Sucrose,0.86637931
32,Melibiose,0.814655172
32,Inulin,0.879310345
32,D-Glucoronate,0.900862069
32,Methanol,0.974137931
31,Sucrose,0.88362069
31,Melibiose,0.818965517
31,Inulin,0.88362069
31,L-Arabinitol,0.797413793
31,D-Glucoronate,0.896551724
31,Methanol,0.961206897
30,Sucrose,0.892241379
30,Melibiose,0.831896552
30,Inulin,0.896551724
30,Galactitol,0.836206897
30,D-Glucoronate,0.870689655
30,D-Galacturonate,0.814655172
30,Methanol,0.952586207
29,Sucrose,0.862068966
29,Melibiose,0.818965517
29,Inulin,0.892241379
29,Galactitol,0.810344828
29,D-Glucoronate,0.870689655
29,D-Galacturonate,0.818965517
29,Methanol,0.935344828
29,"Butane 2,3 diol",0.732758621
28,Sucrose,0.875
28,Melibiose,0.818965517
28,Inulin,0.88362069
28,Galactitol,0.827586207
28,myo-Inositol,0.86637931
28,D-Glucoronate,0.840517241
28,D-Galacturonate,0.844827586
28,Methanol,0.948275862
28,"Butane 2,3 diol",0.74137931
27,Sucrose,0.887931034
27,Melibiose,0.831896552
27,Inulin,0.857758621
27,Erythritol,0.806034483
27,Galactitol,0.806034483
27,myo-Inositol,0.857758621
27,D-Glucoronate,0.840517241
27,D-Galacturonate,0.827586207
27,Methanol,0.952586207
27,"Butane 2,3 diol",0.771551724
26,Sucrose,0.870689655
26,Melibiose,0.788793103
26,Inulin,0.896551724
26,Erythritol,0.780172414
26,L-Arabinitol,0.810344828
26,Galactitol,0.793103448
26,myo-Inositol,0.86637931
26,D-Glucoronate,0.862068966
26,D-Galacturonate,0.818965517
26,Methanol,0.965517241
26,"Butane 2,3 diol",0.728448276
25,Sucrose,0.88362069
25,Melibiose,0.827586207
25,Lactose,0.780172414
25,Inulin,0.900862069
25,Erythritol,0.793103448
25,L-Arabinitol,0.797413793
25,Galactitol,0.814655172
25,myo-Inositol,0.831896552
25,D-Glucoronate,0.836206897
25,D-Galacturonate,0.836206897
25,Methanol,0.935344828
25,"Butane 2,3 diol",0.737068966
24,Sucrose,0.887931034
24,Melibiose,0.818965517
24,Lactose,0.737068966
24,Inulin,0.857758621
24,Starch,0.668103448
24,Erythritol,0.775862069
24,L-Arabinitol,0.784482759
24,Galactitol,0.810344828
24,myo-Inositol,0.853448276
24,D-Glucoronate,0.857758621
24,D-Galacturonate,0.793103448
24,Methanol,0.961206897
24,"Butane 2,3 diol",0.737068966
23,L-Rhamnose,0.715517241
23,Sucrose,0.879310345
23,Melibiose,0.814655172
23,Lactose,0.767241379
23,Inulin,0.857758621
23,Starch,0.693965517
23,Erythritol,0.775862069
23,L-Arabinitol,0.801724138
23,Galactitol,0.793103448
23,myo-Inositol,0.836206897
23,D-Glucoronate,0.840517241
23,D-Galacturonate,0.823275862
23,Methanol,0.913793103
23,"Butane 2,3 diol",0.719827586
22,L-Rhamnose,0.698275862
22,Sucrose,0.887931034
22,Melibiose,0.810344828
22,Lactose,0.75
22,Inulin,0.900862069
22,Starch,0.715517241
22,Erythritol,0.762931034
22,L-Arabinitol,0.818965517
22,Galactitol,0.797413793
22,myo-Inositol,0.849137931
22,D-Glucoronate,0.827586207
22,D-Galacturonate,0.797413793
22,Methanol,0.931034483
22,"Propane 1,2 diol",0.659482759
22,"Butane 2,3 diol",0.685344828
21,L-Rhamnose,0.689655172
21,Sucrose,0.870689655
21,"a,a-Trehalose",0.672413793
21,Melibiose,0.818965517
21,Lactose,0.75
21,Inulin,0.88362069
21,Starch,0.719827586
21,Erythritol,0.788793103
21,L-Arabinitol,0.810344828
21,Galactitol,0.793103448
21,myo-Inositol,0.857758621
21,D-Glucoronate,0.814655172
21,D-Galacturonate,0.823275862
21,Methanol,0.905172414
21,"Propane 1,2 diol",0.663793103
21,"Butane 2,3 diol",0.676724138
20,L-Rhamnose,0.685344828
20,Sucrose,0.875
20,"a,a-Trehalose",0.676724138
20,Cellobiose,0.637931034
20,Melibiose,0.793103448
20,Lactose,0.754310345
20,Inulin,0.896551724
20,Starch,0.676724138
20,Erythritol,0.784482759
20,L-Arabinitol,0.784482759
20,Galactitol,0.797413793
20,myo-Inositol,0.857758621
20,D-Glucoronate,0.814655172
20,D-Galacturonate,0.831896552
20,Methanol,0.956896552
20,"Propane 1,2 diol",0.637931034
20,"Butane 2,3 diol",0.685344828
19,D-Glucosamine,0.650862069
19,L-Rhamnose,0.698275862
19,Sucrose,0.887931034
19,"a,a-Trehalose",0.685344828
19,Cellobiose,0.668103448
19,Melibiose,0.806034483
19,Lactose,0.754310345
19,Inulin,0.86637931
19,Starch,0.698275862
19,Erythritol,0.745689655
19,L-Arabinitol,0.793103448
19,Galactitol,0.780172414
19,myo-Inositol,0.862068966
19,D-Glucoronate,0.836206897
19,D-Galacturonate,0.784482759
19,Methanol,0.952586207
19,"Propane 1,2 diol",0.642241379
19,"Butane 2,3 diol",0.63362069
18,D-Glucosamine,0.655172414
18,D-Xylose,0.681034483
18,L-Rhamnose,0.698275862
18,Sucrose,0.870689655
18,"a,a-Trehalose",0.676724138
18,Cellobiose,0.629310345
18,Melibiose,0.823275862
18,Lactose,0.75
18,Inulin,0.905172414
18,Starch,0.698275862
18,Erythritol,0.793103448
18,L-Arabinitol,0.780172414
18,Galactitol,0.801724138
18,myo-Inositol,0.849137931
18,D-Glucoronate,0.780172414
18,D-Galacturonate,0.818965517
18,Methanol,0.896551724
18,"Propane 1,2 diol",0.659482759
18,"Butane 2,3 diol",0.646551724
17,D-Glucosamine,0.642241379
17,D-Xylose,0.715517241
17,L-Rhamnose,0.715517241
17,Sucrose,0.879310345
17,"a,a-Trehalose",0.655172414
17,Cellobiose,0.650862069
17,Melibiose,0.806034483
17,Lactose,0.74137931
17,Inulin,0.875
17,Starch,0.706896552
17,Erythritol,0.775862069
17,L-Arabinitol,0.801724138
17,D-Mannitol,0.702586207
17,Galactitol,0.806034483
17,myo-Inositol,0.853448276
17,D-Glucoronate,0.836206897
17,D-Galacturonate,0.784482759
17,Methanol,0.969827586
17,"Propane 1,2 diol",0.642241379
17,"Butane 2,3 diol",0.655172414
16,D-Glucosamine,0.663793103
16,D-Xylose,0.715517241
16,L-Rhamnose,0.706896552
16,Sucrose,0.86637931
16,"a,a-Trehalose",0.689655172
