# of predictors,i,predictors,fold,accuracy
1,0,5,0,0.6615384615384615
1,0,5,1,0.6538461538461539
1,0,5,2,0.676923076923077
1,0,5,3,0.5384615384615384
1,0,5,4,0.6615384615384615
1,1,5,0,0.6615384615384615
1,1,5,1,0.6538461538461539
1,1,5,2,0.676923076923077
1,1,5,3,0.5384615384615384
1,1,5,4,0.6615384615384615
1,2,0,0,0.5307692307692308
1,2,0,1,0.5153846153846153
1,2,0,2,0.47692307692307695
1,2,0,3,0.5384615384615384
1,2,0,4,0.43846153846153846
1,3,1,0,0.676923076923077
1,3,1,1,0.6461538461538462
1,3,1,2,0.7461538461538462
1,3,1,3,0.5461538461538461
1,3,1,4,0.7153846153846154
1,4,2,0,0.6153846153846154
1,4,2,1,0.6384615384615384
1,4,2,2,0.6461538461538462
1,4,2,3,0.5615384615384615
1,4,2,4,0.6923076923076923
1,5,3,0,0.5846153846153846
1,5,3,1,0.5846153846153846
1,5,3,2,0.5538461538461539
1,5,3,3,0.49230769230769234
1,5,3,4,0.5615384615384615
1,6,4,0,0.7538461538461538
1,6,4,1,0.5769230769230769
1,6,4,2,0.5307692307692308
1,6,4,3,0.5846153846153846
1,6,4,4,0.6230769230769231
1,7,6,0,0.7076923076923077
1,7,6,1,0.6
1,7,6,2,0.7153846153846154
1,7,6,3,0.4461538461538462
1,7,6,4,0.7384615384615385
1,8,7,0,0.6384615384615384
1,8,7,1,0.6153846153846154
1,8,7,2,0.6461538461538462
1,8,7,3,0.47692307692307695
1,8,7,4,0.6153846153846154
1,9,8,0,0.6615384615384615
1,9,8,1,0.6153846153846154
1,9,8,2,0.7
1,9,8,3,0.5538461538461539
1,9,8,4,0.7384615384615385
1,10,9,0,0.6846153846153846
1,10,9,1,0.676923076923077
1,10,9,2,0.7461538461538462
1,10,9,3,0.47692307692307695
1,10,9,4,0.6615384615384615
1,11,10,0,0.6307692307692307
1,11,10,1,0.5384615384615384
1,11,10,2,0.5923076923076923
1,11,10,3,0.5846153846153846
1,11,10,4,0.5076923076923077
2,0,2|7,0,0.6923076923076923
2,0,2|7,1,0.6666666666666666
2,0,2|7,2,0.6923076923076923
2,0,2|7,3,0.717948717948718
2,0,2|7,4,0.8034188034188035
2,1,5|7,0,0.6495726495726496
2,1,5|7,1,0.6495726495726496
2,1,5|7,2,0.6410256410256411
2,1,5|7,3,0.4358974358974359
2,1,5|7,4,0.6837606837606838
2,2,9|10,0,0.7008547008547008
2,2,9|10,1,0.6666666666666666
2,2,9|10,2,0.6495726495726496
2,2,9|10,3,0.48717948717948717
2,2,9|10,4,0.5641025641025641
2,3,2|7,0,0.6923076923076923
2,3,2|7,1,0.6666666666666666
2,3,2|7,2,0.6923076923076923
2,3,2|7,3,0.717948717948718
2,3,2|7,4,0.8034188034188035
2,4,7|10,0,0.5641025641025641
2,4,7|10,1,0.6666666666666666
2,4,7|10,2,0.6324786324786325
2,4,7|10,3,0.5213675213675214
2,4,7|10,4,0.6153846153846154
