# of predictors,i,predictors,fold,jaccard_score
1,0,5,0,0.464770523594053
1,0,5,1,0.4915045003750312
1,0,5,2,0.5108333071583377
1,0,5,3,0.3601398601398601
1,0,5,4,0.4974834248235546
1,1,5,0,0.464770523594053
1,1,5,1,0.4915045003750312
1,1,5,2,0.5108333071583377
1,1,5,3,0.3601398601398601
1,1,5,4,0.4974834248235546
1,2,0,0,0.32676091269841273
1,2,0,1,0.33659713168187744
1,2,0,2,0.2606465025819864
1,2,0,3,0.3496972615935049
1,2,0,4,0.27226579820497526
1,3,1,0,0.5107974594213126
1,3,1,1,0.46120349660172666
1,3,1,2,0.5952338359315104
1,3,1,3,0.3726812743509292
1,3,1,4,0.5571675243770314
1,4,2,0,0.45643346095834786
1,4,2,1,0.4609299655568312
1,4,2,2,0.474240857667714
1,4,2,3,0.38742867709213863
1,4,2,4,0.509144380112122
1,5,3,0,0.42489791413751243
1,5,3,1,0.41882326671876746
1,5,3,2,0.38167047473978166
1,5,3,3,0.3254031192175522
1,5,3,4,0.38821695425469005
1,6,4,0,0.6090918114143921
1,6,4,1,0.4027265696660132
1,6,4,2,0.35106718074943627
1,6,4,3,0.41453355155482813
1,6,4,4,0.43616342586930823
1,7,6,0,0.5354123354123353
1,7,6,1,0.3982795698924731
1,7,6,2,0.5557514348000179
1,7,6,3,0.2888043994840111
1,7,6,4,0.5873530679527953
1,8,7,0,0.47358626448178687
1,8,7,1,0.4200303072048492
1,8,7,2,0.47046864686468653
1,8,7,3,0.29503407984420643
1,8,7,4,0.44169960474308295
1,9,8,0,0.504189852700491
1,9,8,1,0.4535094535094535
1,9,8,2,0.5344943820224719
1,9,8,3,0.3277837109732044
1,9,8,4,0.5889046384327282
1,10,9,0,0.5223341473341473
1,10,9,1,0.5176421751764217
1,10,9,2,0.5959519665854507
1,10,9,3,0.29503407984420643
1,10,9,4,0.49302325581395356
1,11,10,0,0.47360656221415715
1,11,10,1,0.3665098199672668
1,11,10,2,0.4149673961096375
1,11,10,3,0.4045767316795354
1,11,10,4,0.31927694946562873
2,0,2|7,0,0.5400691262760229
2,0,2|7,1,0.4870982875908984
2,0,2|7,2,0.5268354833572225
2,0,2|7,3,0.5609915198956295
2,0,2|7,4,0.6732589623408481
2,1,5|7,0,0.4587194373115998
2,1,5|7,1,0.48519333060556463
2,1,5|7,2,0.46996266823853033
2,1,5|7,3,0.26311424424631974
2,1,5|7,4,0.5239563413079394
