# of predictors,i,predictors,response,fold,mcc
1,0,5,difcoMB,0,0.0
1,0,5,HMBcmpt,0,0.17766726362967536
1,0,5,HMBpep,0,0.03289758474798845
1,0,5,HMBaa,0,0.0
1,0,5,HMBlips,0,0.5393598899705937
1,0,5,HMBorg,0,-0.23354968324845687
1,0,5,HMBntrl,0,0.5393598899705937
1,0,5,HMBamisug,0,-0.10112997936948631
1,0,5,HMBacdsug,0,0.5393598899705937
1,0,5,HMB--,0,0.337099931231621
1,0,5,difcoMB,1,0.0
1,0,5,HMBcmpt,1,0.14085904245475275
1,0,5,HMBpep,1,0.0
1,0,5,HMBaa,1,0.21957751641341997
1,0,5,HMBlips,1,0.0
1,0,5,HMBorg,1,0.39477101697586137
1,0,5,HMBntrl,1,0.2828894749305018
1,0,5,HMBamisug,1,0.21957751641341997
1,0,5,HMBacdsug,1,0.5476190476190477
1,0,5,HMB--,1,0.38575837490522974
1,0,5,difcoMB,2,0.0
1,0,5,HMBcmpt,2,1.0
1,0,5,HMBpep,2,0.0
1,0,5,HMBaa,2,-0.5367450401216932
1,0,5,HMBlips,2,0.05143444998736397
1,0,5,HMBorg,2,0.6904761904761905
1,0,5,HMBntrl,2,0.6904761904761905
1,0,5,HMBamisug,2,0.6172133998483676
1,0,5,HMBacdsug,2,0.7319250547113999
1,0,5,HMB--,2,0.2672612419124244
1,0,5,difcoMB,3,0.15811388300841897
1,0,5,HMBcmpt,3,0.05773502691896257
1,0,5,HMBpep,3,-0.31754264805429416
1,0,5,HMBaa,3,0.0
1,0,5,HMBlips,3,-0.2253744679276044
1,0,5,HMBorg,3,-0.2253744679276044
1,0,5,HMBntrl,3,0.5666666666666667
1,0,5,HMBamisug,3,-0.15811388300841897
1,0,5,HMBacdsug,3,0.13333333333333333
1,0,5,HMB--,3,0.13333333333333333
1,0,5,difcoMB,4,0.0
1,0,5,HMBcmpt,4,0.7319250547113999
1,0,5,HMBpep,4,0.50709255283711
1,0,5,HMBaa,4,-0.39477101697586137
1,0,5,HMBlips,4,0.50709255283711
1,0,5,HMBorg,4,0.5476190476190477
1,0,5,HMBntrl,4,0.5367450401216932
1,0,5,HMBamisug,4,0.38095238095238093
1,0,5,HMBacdsug,4,0.5367450401216932
1,0,5,HMB--,4,0.03289758474798845
