# of predictors,i,predictors,fold,f1_score_macro
1,0,13,0,0.4419828991402337
1,0,13,1,0.4346577444351471
1,0,13,2,0.4279938996098213
1,1,7,0,0.43769591291365434
1,1,7,1,0.4414173644700208
1,1,7,2,0.44938962139408617
1,2,0,0,0.423018666955633
1,2,0,1,0.44140774719908715
1,2,0,2,0.42430085872321266
1,3,1,0,0.3066822819887198
1,3,1,1,0.3329871237714788
1,3,1,2,0.30609182976175625
1,4,2,0,0.41309196411424903
1,4,2,1,0.4369849755115964
1,4,2,2,0.43774111457157217
1,5,3,0,0.4169232583565207
1,5,3,1,0.44021659101741006
1,5,3,2,0.4328426903988561
1,6,4,0,0.44644461610365765
1,6,4,1,0.4276641009296103
1,6,4,2,0.43138586514323407
1,7,5,0,0.4276501147112219
1,7,5,1,0.43193907392423964
1,7,5,2,0.4448347433136932
1,8,6,0,0.35511391212800497
1,8,6,1,0.3794486033941245
1,8,6,2,0.34115168349595987
1,9,7,0,0.43769591291365434
1,9,7,1,0.4414173644700208
1,9,7,2,0.44938962139408617
1,10,8,0,0.39828102812534505
1,10,8,1,0.39836729428907375
1,10,8,2,0.4053029863383945
1,11,9,0,0.42980372318802607
1,11,9,1,0.4311972230552967
1,11,9,2,0.3859616953209429
1,12,10,0,0.40538188093691563
1,12,10,1,0.4076264811892227
1,12,10,2,0.396081351661417
1,13,11,0,0.3946980008489436
1,13,11,1,0.39195398795488307
1,13,11,2,0.4342493811873114
1,14,12,0,0.45121753508652257
1,14,12,1,0.44860003766468354
1,14,12,2,0.4579027108315379
1,15,14,0,0.36700238286483505
1,15,14,1,0.3982435952631569
1,15,14,2,0.37781452632595824
1,16,15,0,0.371340910801145
1,16,15,1,0.4069175501687014
1,16,15,2,0.38227546924703376
1,17,16,0,0.3649395531247775
1,17,16,1,0.3203515424238914
1,17,16,2,0.38527103962737913
1,18,17,0,0.3732751585457426
1,18,17,1,0.41054346662438174
1,18,17,2,0.38421311634419514
1,19,18,0,0.4277279303546637
1,19,18,1,0.42280032962246267
1,19,18,2,0.4306182651399942
1,20,19,0,0.28006836376164923
1,20,19,1,0.3170126811483684
1,20,19,2,0.3457658190124658
1,21,20,0,0.453354896549573
1,21,20,1,0.46690924379076426
1,21,20,2,0.4353715460511882
1,22,21,0,0.461615820411839
1,22,21,1,0.4651349849670478
1,22,21,2,0.4784067196779431
1,23,22,0,0.4132846229580179
1,23,22,1,0.41173831282037093
1,23,22,2,0.3944263780641542
1,24,23,0,0.40413363156244236
1,24,23,1,0.430864873028933
1,24,23,2,0.4290379895373005
1,25,24,0,0.3783347686932725
1,25,24,1,0.384095401125772
1,25,24,2,0.41730651097563193
1,26,25,0,0.43946710160670377
1,26,25,1,0.4653628920093678
1,26,25,2,0.43747999225823286
1,27,26,0,0.350425395171194
1,27,26,1,0.34462928960906886
1,27,26,2,0.36842180654704726
1,28,27,0,0.29078817661549583
1,28,27,1,0.2967989495751889
1,28,27,2,0.3194141610579917
1,29,28,0,0.3793236097940332
1,29,28,1,0.35237981984291183
1,29,28,2,0.3750576434253097
1,30,29,0,0.38792275208081906
1,30,29,1,0.39647613911335133
1,30,29,2,0.4242598267471684
1,31,30,0,0.45989939915706596
1,31,30,1,0.44551710064311517
1,31,30,2,0.43658071753143574
1,32,31,0,0.4034382620711543
1,32,31,1,0.41259488353445645
1,32,31,2,0.405371277481341
1,33,32,0,0.35436809109879225
1,33,32,1,0.3183557152567137
1,33,32,2,0.35528550254996044
1,34,33,0,0.4003207568893936
1,34,33,1,0.44423252838622984
1,34,33,2,0.4456408900129602
1,35,34,0,0.4645721068210353
1,35,34,1,0.4465086202204067
1,35,34,2,0.43490512817963384
1,36,35,0,0.3876110203576599
1,36,35,1,0.4080193341392168
1,36,35,2,0.41984710691324745
1,37,36,0,0.368439288577106
1,37,36,1,0.3914402415961886
1,37,36,2,0.3345197662360222
2,0,7|13,0,0.4908343431045868
2,0,7|13,1,0.48401045558539996
2,0,7|13,2,0.49922599961751724
2,1,7|30,0,0.4926273922766229
2,1,7|30,1,0.4829239218033134
2,1,7|30,2,0.49374527878722346
2,2,11|29,0,0.4905692761626401
2,2,11|29,1,0.4573931954999228
2,2,11|29,2,0.4843742912970126
2,3,28|30,0,0.46273264977690287
2,3,28|30,1,0.4859175459035794
2,3,28|30,2,0.4800542423441055
2,4,23|26,0,0.4567030461694852
2,4,23|26,1,0.4420734792061038
2,4,23|26,2,0.41700836950505216
2,5,10|34,0,0.4856354249697379
2,5,10|34,1,0.46930314258899397
2,5,10|34,2,0.47190546691359175
2,6,5|29,0,0.4376269970301783
2,6,5|29,1,0.4541661150094885
2,6,5|29,2,0.4707687157434602
2,7,13|15,0,0.45911362650630894
2,7,13|15,1,0.4699523288219695
2,7,13|15,2,0.450584272367609
2,8,13|26,0,0.45786156691245444
2,8,13|26,1,0.47796500854342155
2,8,13|26,2,0.46345227858307597
2,9,9|30,0,0.4843316073387934
2,9,9|30,1,0.497090914124825
2,9,9|30,2,0.4696129608768578
2,10,6|28,0,0.3982961134956999
2,10,6|28,1,0.4333609377988951
2,10,6|28,2,0.445308499740491
2,11,10|31,0,0.44136552647690336
2,11,10|31,1,0.4186964876836139
2,11,10|31,2,0.41149787705308966
2,12,30|34,0,0.46658006942497426
2,12,30|34,1,0.4820476691364153
2,12,30|34,2,0.46695041925138453
2,13,2|28,0,0.46738021094337245
2,13,2|28,1,0.47318013597941855
2,13,2|28,2,0.45651378956270294
2,14,3|22,0,0.4522146231402022
2,14,3|22,1,0.4740999806248963
2,14,3|22,2,0.4594824699623756
2,15,7|13,0,0.4908343431045868
2,15,7|13,1,0.48401045558539996
2,15,7|13,2,0.49922599961751724
2,16,5|34,0,0.48353089171579544
2,16,5|34,1,0.49390610420332526
2,16,5|34,2,0.48147731519539777
2,17,9|16,0,0.4560324501831405
2,17,9|16,1,0.46129081540064903
2,17,9|16,2,0.4505611247349252
2,18,1|34,0,0.4734510015120495
2,18,1|34,1,0.46421557723723855
2,18,1|34,2,0.4643592584091813
2,19,19|29,0,0.4140420153225037
2,19,19|29,1,0.4009263482855528
2,19,19|29,2,0.41254372416532736
2,20,15|19,0,0.39843549201994616
2,20,15|19,1,0.41218841305388126
2,20,15|19,2,0.40146626448962114
2,21,29|32,0,0.43983426793432995
2,21,29|32,1,0.43075522671060434
2,21,29|32,2,0.4323451043473174
2,22,15|32,0,0.43676737743763056
2,22,15|32,1,0.4301848117963478
2,22,15|32,2,0.4320574512209458
2,23,2|33,0,0.44696405634652137
2,23,2|33,1,0.47699677337677554
2,23,2|33,2,0.4557784996310568
2,24,15|36,0,0.41301448245278793
2,24,15|36,1,0.43617978840573485
2,24,15|36,2,0.4185427271427918
2,25,8|18,0,0.43469914478327304
2,25,8|18,1,0.4225842462074258
2,25,8|18,2,0.43746967568264444
2,26,24|27,0,0.3901531547498889
2,26,24|27,1,0.41133591707080525
2,26,24|27,2,0.41022398836064294
2,27,10|18,0,0.4506277785200467
2,27,10|18,1,0.44926742100428196
2,27,10|18,2,0.4483966936146273
2,28,22|28,0,0.4664969407943898
2,28,22|28,1,0.4540628079338416
2,28,22|28,2,0.45620841822329017
2,29,5|6,0,0.46999825278956325
2,29,5|6,1,0.4678815797998601
2,29,5|6,2,0.47952506761440167
2,30,15|36,0,0.41301448245278793
2,30,15|36,1,0.43617978840573485
